P04;P50;P51;P52;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;V02;V03;V08;V27;VD_EDUCACAO;VD_REGIAO;VD_IDADE;P64
15;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;3;2;1;2;1;2;1;1;4;2
31;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;1;1;1;1;2;2;5;1;1;3;4;2
50;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;2;1;1;1;2;1;1;1;1;5;4;2
28;1.0;2.0;1.0;1.0;1;2;1;2;1;1;1;3;1;2;3;2;1;3;2;3;1
50;1.0;1.0;1.0;1.0;1;2;1;1;2;2;1;2;1;2;1;2;2;1;5;3;3
31;4.0;2.0;1.0;1.0;1;2;1;1;1;1;2;3;1;1;3;1;3;3;3;1;2
50;2.0;2.0;97.0;1.0;1;2;1;2;1;1;2;2;1;1;3;1;1;4;5;4;2
31;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;2;1;2;2;1;3;2;1;2;3;5;3
50;1.0;1.0;2.0;1.0;1;2;2;2;2;1;2;3;1;1;3;3;2;4;5;2;2
28;97.0;1.0;1.0;1.0;1;2;2;2;1;1;2;3;2;2;3;5;1;4;2;4;3
16;3.0;2.0;1.0;1.0;1;2;1;1;1;1;1;2;1;2;1;1;1;4;1;1;2
50;3.0;1.0;2.0;3.0;2;2;2;2;2;1;2;3;1;2;1;5;3;3;5;4;2
24;7.0;1.0;1.0;1.0;1;2;1;2;1;2;2;3;1;1;3;1;1;2;2;1;1
53;97.0;1.0;1.0;1.0;2;97;2;2;1;1;2;3;1;2;3;1;1;4;5;3;2
52;3.0;2.0;1.0;1.0;1;2;2;2;1;1;2;2;1;2;3;2;2;3;5;1;2
29;1.0;2.0;1.0;1.0;1;2;1;1;2;2;1;2;1;2;3;1;3;4;2;1;1
31;1.0;2.0;1.0;1.0;1;2;1;2;1;2;1;2;1;2;3;1;2;4;3;3;2
41;-1.0;-1.0;-1.0;-1.0;97;97;1;1;2;2;1;2;1;1;1;2;3;3;4;5;3
15;1.0;2.0;1.0;2.0;1;2;1;1;1;1;1;2;1;2;3;1;1;3;1;3;2
52;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;2;3;1;2;3;1;1;1;5;4;1
16;97.0;2.0;1.0;1.0;2;2;2;2;1;2;97;97;1;1;2;1;1;1;1;4;2
29;97.0;1.0;2.0;3.0;2;2;2;2;1;1;97;2;1;2;97;1;97;4;2;3;2
52;2.0;1.0;2.0;1.0;1;2;1;1;1;1;2;2;2;1;1;3;1;4;5;2;2
50;4.0;2.0;1.0;1.0;1;2;1;1;2;1;1;1;1;1;1;1;3;4;5;3;3
31;1.0;1.0;2.0;2.0;2;2;2;2;1;1;2;3;1;2;3;1;97;3;3;3;2
28;4.0;1.0;97.0;1.0;1;1;1;97;2;2;1;2;1;2;3;1;1;4;2;3;3
53;2.0;1.0;2.0;1.0;1;2;1;2;1;1;2;3;1;2;3;2;2;2;5;3;2
15;1.0;1.0;1.0;1.0;1;2;1;2;1;1;1;2;1;2;3;2;3;4;1;1;2
29;-1.0;-1.0;-1.0;-1.0;2;2;2;2;2;1;1;2;1;1;3;2;2;4;2;3;2
50;2.0;1.0;2.0;2.0;2;2;97;2;1;1;2;3;1;2;2;2;1;3;5;4;2
