"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"3140";50;97;2;;4;1;;3;2;2;2;2;2;2;2;;1;2;2;2;1;3;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;2;2;1;1;2;1;3;1;2;4;3;2;2;1;;5;2;2;0;0;0;0;1;1;5;4;4;2;1;1;1;2;1;6175398,59426123;1828442,81648708;125494,18994751;2242377,00963367;3921361,82450623;0,0919292556377365;185,417854067586
"3141";27;2;2;;2;5;3;2;97;1;3;3;1;3;1;2;97;2;2;2;1;6;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;2;2;2;2;1;1;1;2;2;2;3;3;1;1;;;1;1;3;0;0;0;0;;1;2;1;3;3;1;1;2;1;3;20907410,4102155;13054252,8137814;27097050,3254786;12966305,9052789;10694694,8990073;0,194395766255748;6658,67686869033
"3142";43;2;1;2;3;5;1;1;1;1;3;3;3;3;1;2;1;2;2;2;2;6;2;1;2;2;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;2;;;;;;;;;;97;1;97;2;1;1;2;4;2;2;2;3;1;1;;;5;4;2;0;0;0;0;;1;4;2;2;3;1;1;1;3;3;11790662,3027841;4976682,1552343;1179209,1539002;6877258,89129001;4490598,96948101;0,640270985154636;12394,0765468364
"3143";27;2;1;2;3;5;5;2;2;2;3;3;2;3;1;3;1;2;1;2;1;3;2;2;2;2;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;;;;;;;;;;1;1;2;2;97;2;2;4;2;1;1;3;1;1;;;6;1;2;1;0;0;1;;0;2;3;1;3;1;1;1;1;3;22937254,8699374;7934345,66230122;10746878,5794495;12966305,9052789;10694694,8990073;0,194395766255748;2573,4819225771
"3144";42;1;2;;2;3;;2;2;2;2;3;3;2;1;2;2;1;1;2;1;3;2;1;1;2;1;1;2;1;1;1;1;2;1;2;2;2;1;1;2;2;;;;;;;;;;2;1;1;2;1;1;1;4;2;2;1;3;1;1;;;1;1;4;0;0;0;0;;1;4;3;1;3;1;1;3;1;1;11790662,3027841;4174819,25961168;17810307,5704317;6877258,89129001;8848258,34087613;0,716100169557645;39085,9974359494
"3145";11;2;1;2;1;5;1;1;1;1;3;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;4;2;1;;;5;2;3;0;0;0;0;4;1;1;3;1;4;1;1;2;2;2;6773138,38201185;2440573,74107289;2582600,48691994;2399410,71828191;5475108,39068382;0,657788798422396;14887,5390902009
"3146";16;2;1;1;2;3;;2;2;2;3;3;1;2;2;;1;3;1;2;1;1;97;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;1;1;1;1;2;1;1;2;2;2;3;4;2;1;;;1;2;2;0;0;0;0;;1;1;2;3;4;1;1;1;2;3;6773138,38201185;2888659,36430057;9643625,74810525;2399410,71828191;3668531,91805448;0,0469509364157867;547,240361752129
"3147";32;2;1;2;3;1;;2;97;2;2;2;3;2;1;3;2;2;2;2;1;2;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;2;1;1;2;1;2;1;3;2;2;3;3;2;1;;;5;2;3;0;0;0;0;;1;3;3;3;2;1;1;2;2;2;34307260,1788924;12935558,7172738;26349818,4883615;11642723,335758;28238670,7866954;1,97518151107859;57328,7667931401
"3148";33;1;1;1;1;2;;1;2;2;3;2;1;2;1;2;1;2;1;1;1;1;1;2;2;1;1;1;2;1;2;2;1;2;2;1;2;2;2;2;2;2;;;;;;;;;;2;1;97;2;2;2;1;4;2;1;3;3;1;1;;;4;2;2;1;0;0;1;;0;3;4;3;3;1;1;1;2;2;37266731,3639616;10817844,4188551;26349818,4883615;23585402,4563219;28238670,7866954;0,989778999231182;22455,2043009986
"3149";14;2;2;;2;1;;2;2;2;2;97;2;2;2;;1;2;2;1;2;6;2;2;2;2;1;1;2;1;2;1;1;2;2;2;2;2;1;2;1;1;2;1;2;1;2;3;2;3;3;1;1;1;2;2;2;2;1;2;1;3;3;1;1;;;1;2;2;1;0;0;1;;0;1;1;3;3;1;1;1;2;2;6858908,59017553;4671519,09130945;9643625,74810525;4331620,75185869;5475108,39068382;0,0461849661679657;2459,38407864943
"3150";50;1;2;;1;5;2;3;1;2;3;3;6;3;1;2;97;3;2;1;1;2;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;3;2;3;3;3;3;1;1;2;1;2;2;1;97;1;4;2;2;2;2;2;1;;;4;1;5;0;0;0;0;;1;5;5;2;1;1;1;3;1;1;6175398,59426123;2056012,892451;1277187,21734867;3421799,78169772;3921361,82450623;0,183858511275473;9449,50745972598
"3151";11;2;2;;1;3;;3;2;2;3;2;2;3;1;2;1;2;1;1;1;1;2;1;2;2;1;1;1;97;1;1;1;1;1;1;97;1;1;1;1;1;2;3;2;3;2;2;1;1;2;1;1;1;2;2;2;2;1;1;1;3;4;1;2;2;2;;2;2;0;0;0;0;1;1;1;3;3;4;3;2;1;2;2;6858908,59017553;2440573,74107289;9643625,74810525;2399410,71828191;5475108,39068382;0,131557759684479;1712,02263377379
"3152";51;2;1;1;2;3;;2;2;2;3;3;3;3;1;2;3;2;1;2;1;1;2;1;2;2;1;1;2;1;2;2;1;2;2;2;2;2;1;2;1;2;;;;;;;;;;2;2;2;2;1;1;1;2;2;2;2;6;;2;2;1;;2;4;0;0;0;0;;1;5;2;2;4;2;2;3;2;3;6175398,59426123;2714476,69930958;1277187,21734867;3283461,63546948;5140756,49169244;0,57360059844731;8442,96882931237
"3153";15;1;2;;1;5;5;2;1;1;3;3;2;1;1;1;1;2;2;1;1;2;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;3;3;2;2;2;2;2;2;2;1;2;2;2;2;3;4;2;1;;;5;5;4;0;0;0;0;;1;1;3;3;4;1;1;3;3;2;6773138,38201185;2440573,74107289;9643625,74810525;2399410,71828191;5475108,39068382;0,131557759684479;2390,88639424347
"3154";12;2;2;;3;1;;2;2;2;97;97;3;2;1;3;3;3;97;1;1;1;1;97;1;1;1;97;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;2;1;2;3;2;1;3;2;1;2;1;;3;2;1;1;0;0;1;;0;1;4;3;2;1;1;1;2;2;6858908,59017553;1750765,73963676;9643625,74810525;2424907,60474098;5475108,39068382;0,0504205912948909;921,462546077988
"3155";21;1;2;;2;1;;97;2;2;2;2;3;97;2;;1;1;2;1;1;2;2;2;1;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;2;1;97;2;2;1;3;1;;2;2;2;;2;97;0;0;0;0;;1;2;5;3;1;3;2;97;2;1;22937254,8699374;7668933,99399618;27097050,3254786;17089583,3906671;19136323,710005;0,411152842425977;48291,4044861578
