"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"722";13;2;1;2;1;6;;1;1;2;3;3;2;3;1;1;1;3;1;1;3;6;2;1;1;2;3;1;1;1;1;1;;;2;;;;2;2;1;;;;;;;;;;;2;1;1;2;2;2;1;4;2;2;1;2;2;1;;;5;4;97;0;0;0;0;;1;1;5;1;1;1;1;97;3;1;6773138,38201185;1880529,03586771;2582600,48691994;4476107,8973058;4488406,66344907;0,434760414582168;33212,486225117
"723";28;2;1;2;2;5;5;1;1;1;2;2;2;2;1;2;1;3;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;2;3;3;1;1;;;5;2;3;0;0;0;0;;1;2;2;3;3;1;1;2;2;3;20907410,4102155;9185405,92676254;27097050,3254786;12966305,9052789;10694694,8990073;0,153357284914487;3064,94622746193
"724";53;1;1;1;2;5;3;2;2;2;2;2;1;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;2;;;;;;;;;;1;1;2;2;2;2;2;2;2;1;4;2;2;2;1;;7;2;2;0;0;0;0;;1;5;4;4;1;1;1;1;2;3;6471216,17364217;1828442,81648708;125494,18994751;3421799,78169772;5140756,49169244;0,33302706850512;774,442359635599
"725";53;2;1;2;2;3;;2;2;2;3;3;3;3;1;2;1;2;1;1;1;6;2;2;2;2;1;1;2;2;2;2;1;2;2;1;2;1;1;1;1;2;;;;;;;;;;2;1;2;2;1;2;1;4;2;1;3;4;1;1;;;5;1;3;0;0;0;0;;1;5;3;3;4;1;1;2;1;3;6471216,17364217;2338299,3457835;6771368,0568895;3283461,63546948;5140756,49169244;0,33302706850512;2769,41036941986
"726";32;2;1;97;1;1;;1;2;1;2;1;1;3;1;2;1;2;1;1;1;1;97;2;2;97;2;1;2;2;2;2;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;97;1;2;2;2;2;2;4;1;1;3;3;2;2;2;2;;2;97;0;0;0;0;97;1;3;4;3;2;3;2;97;2;3;37266731,3639616;10817844,4188551;26349818,4883615;11642723,335758;28876180,8506565;0,395036302215719;7857,49979953882
"727";35;1;1;2;3;5;1;2;97;2;2;2;2;2;1;2;2;1;2;2;1;3;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;2;1;1;1;2;2;2;2;3;3;3;2;1;1;1;2;2;1;1;1;2;1;2;3;3;1;1;;;1;2;3;0;0;0;0;9;1;3;1;3;3;1;1;2;2;1;34307260,1788924;18615364,7082317;26349818,4883615;23585402,4563219;14459139,9055021;16,2360134171844;623149,75717079
"728";35;3;1;2;2;1;;2;2;2;3;2;3;3;1;2;1;2;2;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;;;;;;;;;;97;1;97;2;2;2;1;4;2;1;1;4;1;2;2;2;;2;2;0;0;0;0;;1;3;1;1;4;3;2;1;2;2;37266731,3639616;18615364,7082317;36770761,9610572;18345076,3941771;28238670,7866954;1,59630136645529;75203,7605715198
"729";33;2;1;2;2;3;;1;1;1;2;3;2;2;1;1;1;2;2;1;1;2;2;1;2;2;1;1;1;2;2;1;2;2;2;2;2;2;1;2;2;2;;;;;;;;;;1;1;1;2;2;2;2;3;1;1;1;6;;1;;;2;3;4;0;0;0;0;3;1;3;4;1;4;1;1;3;3;2;37266731,3639616;10817844,4188551;36770761,9610572;18345076,3941771;28238670,7866954;2,30948433153942;48935,3539943221
"730";53;2;2;;3;5;1;2;2;2;3;3;1;3;1;2;1;3;1;2;1;2;2;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;1;2;3;3;2;1;;;1;3;3;0;0;0;0;1;1;5;2;3;2;1;1;2;3;3;6175398,59426123;2714476,69930958;6771368,0568895;2242377,00963367;5140756,49169244;0,33302706850512;4276,13139279791
"731";17;2;2;;2;1;;2;2;1;2;2;2;97;1;2;1;97;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;97;2;1;97;2;2;1;2;2;;;;;;;;;;1;1;2;2;2;2;2;4;1;1;3;4;1;1;;;2;2;3;0;0;0;0;1;1;1;2;3;4;1;1;2;2;1;6858908,59017553;2888659,36430057;9643625,74810525;2399410,71828191;4488406,66344907;0,117290313156604;1596,66632892061
"732";42;2;2;;3;5;5;2;2;2;3;3;3;2;2;;2;2;2;2;1;1;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;;;;;;;;;;2;1;2;2;2;2;1;4;2;2;3;2;1;1;;;5;2;3;0;0;0;0;;1;4;1;3;2;1;1;2;2;3;11790662,3027841;6174721,93567261;4879278,13486164;4315929,72711517;4490598,96948101;0,716100169557645;26018,9384129523
"733";42;1;2;;4;3;;2;1;2;2;2;1;2;1;2;1;2;2;2;2;4;2;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;2;1;1;2;;;;;;;;;;1;1;1;2;1;1;1;2;1;2;1;4;2;2;1;;2;1;2;0;0;0;0;6;1;4;2;1;4;1;1;1;1;1;11790662,3027841;4976682,1552343;17810307,5704317;5770094,98942702;8848258,34087613;0,716100169557645;34268,2416294681
"734";15;2;1;2;3;5;1;2;2;2;2;2;3;3;1;2;1;2;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;1;2;2;2;;;;;;;;;;2;1;1;2;1;2;2;4;2;1;3;3;2;2;1;;3;1;3;0;1;0;1;;0;1;1;3;2;1;1;2;1;2;6858908,59017553;4671519,09130945;9643625,74810525;2424907,60474098;5475108,39068382;0,56143908756424;22003,8755981936
"735";32;2;2;;1;6;;1;1;2;3;3;6;2;1;1;1;2;2;1;1;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;1;1;2;;;;;;;;;;2;1;1;2;2;2;2;4;2;2;3;4;2;2;2;1;;5;1;0;0;0;0;;1;3;3;3;4;2;2;1;3;2;34307260,1788924;12935558,7172738;26349818,4883615;18345076,3941771;28238670,7866954;0,0987590755539297;1776,47900471161
"736";29;1;2;;2;5;5;2;1;2;2;3;3;2;1;1;1;2;2;2;1;4;1;2;2;2;1;1;1;2;2;1;1;2;1;2;2;2;1;2;1;1;1;1;1;1;1;3;3;3;1;1;1;2;2;1;1;1;2;1;1;1;3;1;1;;;5;1;3;0;0;0;0;97;1;2;5;1;3;1;1;2;1;2;22937254,8699374;7668933,99399618;10746878,5794495;12966305,9052789;14013646,6711406;1,2480489490795;29789,7107720403
"737";35;2;2;;3;1;;1;2;2;2;2;3;2;1;2;1;2;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;2;2;1;2;1;2;1;2;2;;;;;;;;;;1;2;1;2;1;2;2;4;2;2;1;3;2;1;;;1;2;4;0;0;0;0;;1;3;4;1;2;1;1;3;2;3;34307260,1788924;10817844,4188551;36770761,9610572;11642723,335758;28876180,8506565;8,11800670859218;175317,626700511
"738";51;2;1;2;4;1;;1;2;2;3;2;1;3;1;3;1;2;2;1;1;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;2;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;1;97;3;2;2;1;;7;2;2;0;0;0;0;;1;5;5;3;2;1;1;1;2;3;6471216,17364217;2056012,892451;6771368,0568895;2242377,00963367;5140756,49169244;0,860400897670966;10100,43626078
"739";26;2;1;1;4;3;;1;97;2;3;3;1;3;1;2;1;2;2;2;2;6;2;2;2;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2;;;;;;;;;;2;2;1;2;1;2;2;4;2;2;4;4;2;1;;;5;3;2;0;0;0;0;;1;2;2;4;4;1;1;1;3;3;20907410,4102155;9185405,92676254;419562,47967567;6474733,97617184;10694694,8990073;0,795664170993237;1380,91771629538
"740";21;2;1;1;2;3;;1;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;1;1;1;2;2;2;2;;;;;;;;;;2;1;1;2;1;2;2;4;2;2;2;4;1;1;;;1;4;97;0;0;0;0;;1;2;1;2;4;1;1;97;3;3;20907410,4102155;13054252,8137814;5581173,8955491;6474733,97617184;10694694,8990073;0,205576421212988;2994,85794381445
"741";41;1;1;2;3;5;1;3;2;2;3;3;1;2;1;2;1;2;2;2;1;3;1;1;1;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;;;;;;;;;;1;1;2;2;1;2;1;4;2;1;1;3;1;1;;;2;4;4;0;0;0;0;;1;4;3;1;3;1;1;3;3;2;12236801,2346068;4174819,25961168;17810307,5704317;6877258,89129001;10688606,2270338;1,12380350157936;18749,8958716818
"742";53;2;2;;1;1;;1;2;2;1;2;3;1;1;2;1;2;2;1;1;2;1;2;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;2;2;2;1;2;1;1;2;3;2;2;2;1;;5;1;2;0;0;1;1;2;0;5;5;3;1;1;1;1;1;3;6175398,59426123;2056012,892451;6771368,0568895;3421799,78169772;5140756,49169244;0,33302706850512;9796,20258823046
"743";15;1;2;;1;3;;1;2;2;2;2;2;2;1;2;1;2;2;1;1;4;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;1;3;1;3;3;2;2;1;1;1;2;2;2;4;2;2;3;4;1;2;2;2;;1;4;0;0;0;0;;1;1;5;3;4;3;2;3;1;3;6773138,38201185;1880529,03586771;9643625,74810525;2399410,71828191;3668531,91805448;0,56143908756424;5863,06594595564
"744";26;1;2;;2;5;7;97;1;1;3;3;1;3;1;2;1;97;97;2;1;2;97;2;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;1;2;1;3;3;3;1;97;2;2;2;1;2;1;2;97;2;2;3;3;1;1;;;4;1;4;0;0;0;0;;1;2;4;3;3;1;1;3;1;1;20907410,4102155;6001726,88331152;27097050,3254786;12966305,9052789;19136323,710005;0,795664170993237;27844,9910741441
"745";32;2;2;;1;3;;1;2;2;2;3;3;2;2;;1;3;2;1;2;6;2;2;2;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;2;2;;;;;;;;;;1;1;1;2;2;2;2;1;2;1;2;4;2;2;2;1;;3;2;0;0;0;0;;1;3;1;2;4;2;2;1;3;3;37266731,3639616;18615364,7082317;7523864,72812505;18345076,3941771;28876180,8506565;0,395036302215719;8137,74822984885
"746";32;2;1;2;4;5;3;1;97;2;3;3;3;3;1;2;1;2;1;1;3;6;2;2;2;2;1;1;2;2;2;2;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;1;1;1;2;2;2;2;4;2;2;97;3;1;1;;;5;4;97;0;0;0;0;;1;3;2;3;3;1;1;97;3;3;34307260,1788924;14370447,1480955;26349818,4883615;23585402,4563219;28876180,8506565;0,197518151107859;3764,2303900911
"747";16;2;1;1;2;5;3;2;1;2;2;2;2;3;1;2;1;2;2;2;1;6;2;1;2;2;1;1;2;1;1;1;2;2;1;1;1;2;1;2;2;2;;;;;;;;;;2;1;1;2;1;2;1;4;1;1;3;3;1;2;1;;5;1;97;1;0;0;1;1;0;1;3;3;3;1;1;97;1;2;6858908,59017553;2440573,74107289;9643625,74810525;4331620,75185869;5475108,39068382;0,234754682078933;5695,70471149232
"748";29;2;2;;4;97;;3;2;2;2;2;1;3;1;3;1;3;2;2;1;6;1;2;2;1;2;2;;;;;;;;;;;;;;2;;;;;;;;;;97;1;2;97;2;97;2;4;2;1;3;97;;2;2;2;;1;97;0;0;0;0;;1;2;2;3;1;3;2;97;1;1;22937254,8699374;9185405,92676254;27097050,3254786;17089583,3906671;19136323,710005;1,2480489490795;153061,637781049
"749";33;1;1;2;2;3;;2;1;1;3;3;1;3;97;;1;2;2;2;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1;1;97;2;2;1;1;1;1;2;1;1;1;3;1;3;1;2;1;2;2;1;1;1;2;1;2;2;3;1;1;;;5;2;3;0;0;0;0;4;1;3;1;2;3;1;1;2;2;2;34307260,1788924;18615364,7082317;7523864,72812505;23585402,4563219;28238670,7866954;2,30948433153942;68968,8252283368
"750";51;2;1;2;4;1;;1;1;2;2;3;1;2;1;2;1;3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;3;1;1;3;1;2;3;3;2;2;2;2;1;2;2;4;2;2;3;3;1;1;;;1;1;3;0;0;0;0;;1;5;3;3;3;1;1;2;1;3;6175398,59426123;2338299,3457835;6771368,0568895;3698976,34110253;5140756,49169244;0,286800299223655;4455,78712067471
"751";51;3;2;;4;1;;2;2;2;3;3;2;3;1;97;1;2;2;97;1;2;1;2;2;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;2;2;2;1;4;2;2;1;4;1;2;2;2;;1;4;0;0;0;0;;1;5;5;1;4;3;2;3;1;3;6175398,59426123;2056012,892451;4472565,30371772;3283461,63546948;5140756,49169244;0,286800299223655;6014,24097291177
"752";27;2;1;2;2;1;;2;97;2;2;3;1;3;1;2;1;3;1;1;1;2;2;1;1;2;1;1;2;2;2;2;1;2;1;1;2;2;1;1;1;2;;;;;;;;;;1;1;1;2;2;2;2;4;1;1;2;3;1;2;1;;7;3;3;0;0;0;0;1;1;2;4;2;3;1;1;2;3;3;22937254,8699374;6001726,88331152;5581173,8955491;12966305,9052789;10694694,8990073;0,558580927288776;5875,00639185407
"753";52;2;1;1;4;1;;1;97;1;2;2;2;2;2;;1;2;2;1;1;2;2;1;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;1;1;2;;;;;;;;;;1;1;1;1;2;2;2;4;1;1;3;3;1;2;2;1;;1;2;0;0;0;0;1;1;5;3;3;3;2;2;1;1;2;6471216,17364217;2338299,3457835;6771368,0568895;3698976,34110253;3584496,45170473;0,66605413701024;16139,7339437294
"754";24;97;2;;4;5;5;2;2;2;2;2;97;97;2;;1;2;2;1;1;2;2;2;2;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;97;1;97;2;2;2;2;4;2;1;3;3;1;2;2;1;;5;2;0;0;0;0;;1;2;1;3;3;2;2;1;3;3;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;10694694,8990073;0,833466173205839;25431,672340301
"755";35;1;2;;2;3;;2;2;2;3;3;3;3;2;;2;3;1;1;1;2;2;2;2;1;2;2;;;;;;;;;;;;;;2;;;;;;;;;;1;2;2;1;2;2;1;2;1;2;3;3;1;2;2;1;;2;97;0;0;0;0;97;1;3;4;3;3;2;2;97;2;2;34307260,1788924;10817844,4188551;26349818,4883615;23585402,4563219;28238670,7866954;8,11800670859218;145072,407634697
"756";12;1;2;;1;5;3;1;1;1;3;2;1;3;1;2;2;2;1;2;1;6;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;3;3;1;1;1;2;2;1;1;2;1;1;2;2;2;3;3;2;1;;;2;4;3;0;0;0;0;;1;1;4;3;2;1;1;2;3;1;6773138,38201185;1750765,73963676;9643625,74810525;2424907,60474098;4488406,66344907;0,504205912948909;12940,5526059484
"757";14;2;1;2;2;5;1;2;1;1;2;3;3;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;;;;;;;;;;2;1;2;1;2;1;2;2;2;2;2;3;1;2;1;;5;2;97;1;0;0;1;;0;1;1;2;3;1;1;97;2;1;6773138,38201185;4671519,09130945;1206040,59428661;4331620,75185869;4488406,66344907;0,0461849661679657;3615,76961505442
"758";33;2;1;1;4;5;3;2;2;2;3;2;4;3;1;3;1;3;2;1;1;6;1;1;1;2;1;1;2;2;2;2;2;2;1;2;2;1;2;1;2;2;;;;;;;;;;2;1;2;2;1;1;2;4;2;1;1;3;1;2;2;1;;2;97;1;0;0;1;;0;3;3;1;3;2;2;97;2;3;37266731,3639616;12935558,7172738;36770761,9610572;23585402,4563219;28876180,8506565;2,30948433153942;86037,175888723
"759";28;2;1;2;3;3;;1;2;1;3;2;3;3;2;;1;3;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;1;1;1;2;1;2;2;4;1;2;3;2;2;1;;;7;1;2;1;0;1;1;1;0;2;2;3;1;1;1;1;1;1;20907410,4102155;9185405,92676254;27097050,3254786;17089583,3906671;19136323,710005;0,153357284914487;21113,1651511357
"760";25;1;1;2;3;1;;2;2;2;2;2;2;2;2;;3;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;1;2;2;;;;;;;;;;2;1;2;2;2;1;2;2;1;2;3;3;2;2;1;;5;2;2;0;0;0;0;97;1;2;1;3;2;1;1;1;2;1;20907410,4102155;13054252,8137814;27097050,3254786;7314042,008035;19136323,710005;0,175182202723042;14941,1643776384
"761";53;2;2;;1;5;4;2;2;1;3;3;5;3;1;2;3;2;2;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;3;2;3;2;1;1;2;1;2;1;2;1;2;2;2;2;3;3;1;1;;;5;2;2;1;0;0;1;;0;5;2;3;3;1;1;1;2;3;6175398,59426123;2714476,69930958;6771368,0568895;3698976,34110253;5140756,49169244;0,33302706850512;7470,80110630777
"762";15;1;2;;2;5;4;2;97;2;2;2;1;2;1;2;1;2;2;2;1;6;1;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;1;1;2;3;2;3;2;3;1;2;2;1;2;2;1;1;1;2;1;1;1;3;1;2;2;2;;2;97;0;0;0;0;4;1;1;5;1;3;3;2;97;2;3;6858908,59017553;1880529,03586771;2582600,48691994;4331620,75185869;3668531,91805448;0,56143908756424;9747,8644248791
"763";33;97;1;1;1;4;;1;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;2;2;1;1;2;1;2;1;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;97;1;97;2;2;2;97;1;2;2;3;4;1;1;;;1;3;4;0;0;0;0;;1;3;3;3;4;1;1;3;3;3;34307260,1788924;12935558,7172738;26349818,4883615;18345076,3941771;28876180,8506565;2,30948433153942;33314,0462476586
"764";52;1;1;2;2;3;;1;2;2;3;3;2;3;1;2;1;2;2;2;1;6;1;2;2;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2;3;2;2;2;3;2;1;1;2;2;1;1;1;2;1;2;1;4;1;1;;;5;2;97;0;0;0;0;97;1;5;2;1;4;1;1;97;2;1;6175398,59426123;2714476,69930958;4472565,30371772;3283461,63546948;3921361,82450623;0,33302706850512;10887,425439001
"765";25;1;2;;2;5;5;1;2;2;2;2;3;2;2;;3;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;2;1;2;2;;;;;;;;;;1;1;2;1;1;1;2;97;97;1;1;4;1;2;2;1;;2;3;0;0;0;0;;1;2;2;1;4;2;2;2;2;1;22937254,8699374;9185405,92676254;10746878,5794495;6474733,97617184;19136323,710005;0,467152540594779;10456,201939097
"766";42;2;1;2;2;5;5;1;1;1;2;3;1;2;1;2;3;2;2;1;2;4;2;2;2;2;1;1;1;1;2;1;1;2;2;1;2;1;2;1;1;1;3;3;2;2;3;2;3;3;3;2;2;1;2;1;2;1;3;2;2;3;3;1;1;;;1;1;5;0;0;0;0;;1;4;1;3;3;1;1;3;1;2;11790662,3027841;6174721,93567261;4879278,13486164;6877258,89129001;10688606,2270338;0,716100169557645;27346,3846656088
"767";25;2;1;2;4;1;;1;1;2;3;3;2;3;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;1;2;2;2;2;4;2;1;3;3;2;2;2;1;;1;2;0;0;0;0;;1;2;1;3;2;2;2;1;1;2;22937254,8699374;13054252,8137814;27097050,3254786;7314042,008035;14013646,6711406;0,23357627029739;9923,42850735471
"768";23;2;2;;4;5;1;2;2;2;3;2;1;2;1;3;1;2;2;2;1;1;2;1;2;1;2;1;2;1;1;1;1;2;1;1;2;2;1;2;2;2;;;;;;;;;;1;1;2;2;2;1;1;4;2;1;3;4;2;2;2;2;;2;2;1;0;1;1;;0;2;2;3;4;3;2;1;2;2;22937254,8699374;9185405,92676254;27097050,3254786;6474733,97617184;14013646,6711406;0,211582549762385;2655,33604713677
"769";25;2;1;1;3;1;;2;2;2;2;2;2;2;1;2;1;2;2;1;2;6;2;2;2;2;1;1;2;1;1;2;2;2;1;2;2;2;1;1;1;2;;;;;;;;;;2;1;2;2;2;2;2;4;2;2;3;2;1;1;;;4;4;3;0;0;0;0;;1;2;3;3;2;1;1;2;3;2;20907410,4102155;7934345,66230122;27097050,3254786;7314042,008035;14013646,6711406;0,467152540594779;9692,25768954686
"770";31;2;1;97;2;4;;2;1;2;2;2;4;3;1;2;1;1;1;1;1;6;2;1;2;2;1;1;1;1;2;2;1;2;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;1;2;2;2;1;4;2;1;1;4;1;1;;;1;5;97;0;0;0;0;;1;3;4;1;4;1;1;97;3;3;37266731,3639616;10817844,4188551;36770761,9610572;18345076,3941771;28876180,8506565;2,07694757223493;35290,8849700644
"771";42;1;2;;2;3;;1;1;2;2;2;1;1;1;2;1;2;2;2;1;3;2;2;2;2;1;1;2;2;2;1;2;2;1;1;2;2;1;1;1;1;2;2;2;2;2;2;3;1;1;2;2;2;2;2;1;2;3;1;2;1;4;1;1;;;5;1;5;0;0;0;0;1;1;4;5;1;4;1;1;3;1;1;11790662,3027841;4913423,03593019;17810307,5704317;5770094,98942702;8848258,34087613;2,57331363728721;67859,2217136411
"772";31;2;1;1;1;4;;1;1;2;3;3;3;3;1;1;1;2;2;1;3;6;2;2;2;2;1;1;2;2;2;2;1;2;1;1;1;1;2;1;1;2;;;;;;;;;;1;1;1;2;2;2;2;1;1;2;1;4;1;1;;;5;1;3;0;0;0;0;1;1;3;3;1;4;1;1;2;1;3;34307260,1788924;12935558,7172738;36770761,9610572;18345076,3941771;28876180,8506565;2,07694757223493;41296,1977467294
"773";32;1;1;2;2;6;;2;2;2;3;3;1;3;1;2;2;3;2;1;3;5;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;1;1;1;2;;;;;;;;;;2;2;1;2;1;1;2;4;1;2;3;3;1;1;;;5;1;97;0;0;0;0;97;1;3;2;3;3;1;1;97;1;1;34307260,1788924;14370447,1480955;26349818,4883615;23585402,4563219;14459139,9055021;0,395036302215719;9068,54366590817
"774";51;2;1;2;1;5;1;1;1;1;2;3;97;3;1;1;1;3;2;1;1;3;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;3;1;3;1;1;1;1;1;1;2;2;2;2;1;1;1;3;4;1;1;;;2;1;5;0;0;0;0;1;1;5;4;3;4;1;1;3;1;2;6471216,17364217;1828442,81648708;6771368,0568895;3283461,63546948;3584496,45170473;0,286800299223655;4684,52064696027
"775";52;2;1;2;4;1;;2;2;2;1;1;1;2;2;;3;2;2;2;1;2;2;2;2;2;2;2;;;;;;;;;;;;;;2;;;;;;;;;;1;2;1;1;1;2;2;2;2;1;1;4;1;1;;;5;2;2;0;0;0;0;;1;5;2;1;4;1;1;1;2;2;6471216,17364217;2714476,69930958;4472565,30371772;3283461,63546948;3584496,45170473;1,17830452646159;36623,6265447328
"776";15;2;1;1;2;3;;1;1;2;3;2;2;2;1;2;1;1;2;1;1;3;2;1;2;1;1;1;1;2;1;1;97;97;1;1;97;1;1;1;1;2;;;;;;;;;;1;1;1;2;2;2;2;4;2;2;3;4;1;1;;;1;1;5;0;0;0;0;;1;1;2;3;4;1;1;3;1;3;6773138,38201185;2888659,36430057;9643625,74810525;2399410,71828191;3668531,91805448;0,56143908756424;6543,89779704444
"777";31;2;2;;1;6;;1;97;2;1;2;1;97;1;2;1;3;2;1;2;5;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;3;2;3;3;1;1;1;2;2;2;2;1;2;1;3;4;1;2;2;2;;1;3;0;0;0;0;;1;3;1;3;4;3;2;2;1;2;37266731,3639616;18615364,7082317;26349818,4883615;18345076,3941771;28238670,7866954;2,07694757223493;70986,8717005598
"778";33;1;2;;3;2;;2;2;2;2;3;1;97;97;;3;2;1;1;1;1;1;1;1;1;3;97;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;97;2;2;1;4;2;1;97;3;97;2;2;2;;1;97;0;0;0;0;;1;3;5;3;1;3;2;97;1;3;37266731,3639616;14834776,5503979;26349818,4883615;18000789,3565969;28876180,8506565;2,30948433153942;86951,8655894124
"779";14;2;2;;2;1;;1;1;2;3;3;5;3;1;1;1;2;2;1;2;4;2;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;3;3;2;2;2;1;1;97;2;2;2;2;1;2;2;3;6;;2;2;2;;4;2;0;0;0;0;;1;1;4;3;4;3;2;1;3;2;6773138,38201185;1750765,73963676;9643625,74810525;2399410,71828191;5475108,39068382;0,0461849661679657;859,031012700022
"780";23;2;1;2;4;5;5;3;1;2;2;2;1;97;2;;2;3;1;1;1;6;2;1;2;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;1;2;1;4;2;1;3;3;1;1;;;5;4;97;1;0;0;1;;0;2;1;3;3;1;1;97;3;1;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;19136323,710005;0,42493149614774;32547,9283966589
"781";31;1;2;;2;3;;1;1;1;2;2;1;1;1;2;2;2;2;2;1;3;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;2;2;1;3;1;2;2;3;3;3;3;2;2;2;1;1;2;1;1;2;1;2;3;3;1;1;;;5;2;97;0;0;0;0;8;1;3;3;3;3;1;1;97;2;2;34307260,1788924;12935558,7172738;26349818,4883615;23585402,4563219;28238670,7866954;3,1154213583524;82707,1558640766
"782";21;2;1;2;4;1;;2;97;2;3;2;6;2;1;3;1;2;2;1;1;4;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;2;1;1;1;2;;;;;;;;;;1;2;1;1;1;2;2;4;1;2;3;3;1;1;;;5;2;3;0;1;0;1;1;0;2;4;3;3;1;1;2;2;2;20907410,4102155;6001726,88331152;27097050,3254786;12966305,9052789;14013646,6711406;2,05576421212988;40229,380405209
