"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10";"P11_1";"P11_2";"P11_3";"P12";"P13";"P14";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_1";"P18_2";"P18_3";"P18_4";"P19";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P20_6";"P21_1";"P21_2";"P21_3";"P21_4";"P22";"P23";"P27";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P37";"P38";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"W1";"W2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_TRAB"
"3940";18;2;2;1;97;4;2;97;2;2;1;3;2;1;2;2;2;2;2;97;97;2;2;97;2;2;3;3;3;3;3;2;3;3;3;4;;1;1;2;2;2;6;97;8;;2;4;4;1;1;1;1;1;3;2;0,258475127501189;23654,0926340865;12541491,9498028;4145961,67702737;17934317,9494049;8016320,58973676;14678916,5657496
"3941";23;2;3;3;6;2;1;1;2;2;1;2;2;1;2;2;2;2;2;2;3;1;2;3;2;2;2;1;3;1;2;3;2;4;3;2;;1;1;3;1;2;2;2;3;1;97;4;5;1;3;3;2;97;3;3;1,58803955316702;69139,283439922;12541491,9498028;5343809,44930734;17934317,9494049;6496943,75539045;8116994,2648156
"3942";14;2;2;1;5;4;2;2;2;2;2;2;2;1;1;2;3;2;2;2;2;1;1;2;2;1;1;3;2;2;2;2;3;2;3;2;;1;3;3;2;2;6;2;1;4;2;1;1;3;2;3;2;1;1;2;0,233722191703076;20235,0984881119;6782295,47091322;4323565,77363878;9550655,77936565;2353760,06971147;4904549,87655466
"3943";7;3;3;3;4;3;2;1;1;1;1;2;1;2;;2;3;2;2;2;1;2;2;3;1;2;2;3;1;3;4;2;3;3;3;4;;1;3;3;1;2;6;1;1;1;2;5;4;3;3;2;2;1;1;3;1,97801948657003;8813,92820917639;6576785,59605944;1986741,61793614;6774440,12421244;3442194,137924;856244,0817912
"3944";9;2;2;1;4;4;3;1;2;2;2;1;2;1;2;2;3;2;3;2;3;1;1;2;1;2;2;2;2;2;3;3;1;4;4;1;;2;3;3;1;1;;;8;;97;5;3;3;3;1;1;97;3;2;0,160526008077202;5638,14491880639;6003369,09289076;2422682,73111292;6774440,12421244;3442194,137924;7845449,59832215
"3945";18;3;2;3;5;4;3;2;2;2;2;2;1;1;1;2;2;2;4;2;1;1;2;1;1;1;2;3;3;4;1;2;3;4;2;1;;2;3;3;1;2;6;1;1;2;1;4;4;3;3;2;2;1;1;1;0,413560204001902;915,448706219846;11515515,6430074;4145961,67702737;4807349,31831882;6496943,75539045;1261096,76224488
"3946";12;3;3;3;4;4;3;2;1;2;2;2;3;1;2;2;1;1;4;4;4;1;1;1;2;1;1;4;1;1;2;3;4;4;4;2;;1;3;3;1;1;;;1;2;5;5;4;3;3;1;1;3;1;1;0,278299223371858;6125,48148018891;6576785,59605944;1986741,61793614;6774440,12421244;3442194,137924;7845449,59832215
"3947";23;2;3;3;2;3;3;1;2;1;1;2;1;1;2;1;3;1;2;2;2;2;2;2;2;1;1;3;2;2;1;4;4;4;4;2;;2;2;2;1;2;5;2;1;1;2;4;5;2;2;3;2;1;1;2;0,446665495744183;10650,440008126;11515515,6430074;5343809,44930734;1115368,24762409;4258647,17765672;8116994,2648156
"3948";27;3;3;3;8;3;97;1;2;1;2;2;1;1;2;3;2;1;4;2;3;2;2;3;1;2;2;2;3;3;97;3;3;3;4;2;;2;3;2;2;2;2;1;1;3;97;1;5;3;1;2;2;97;1;2;0,170911172388331;3973,15447066466;6445651,30382502;2005134,21920363;9550655,77936565;4880767,54450081;972423,15925125
"3949";9;3;3;2;4;3;3;2;2;2;1;2;1;2;;1;4;1;2;2;1;1;1;1;1;1;1;97;1;1;1;97;4;4;4;97;;1;1;4;1;1;;;1;5;2;5;3;1;4;1;1;1;1;2;0,321052016154404;9231,71268485291;6576785,59605944;2422682,73111292;4456488,23198482;2974499,82286506;7845449,59832215
"3950";18;2;2;97;5;4;3;2;2;2;2;2;1;1;2;1;4;1;2;4;4;1;1;3;3;1;1;4;4;3;3;1;4;4;4;97;;1;1;2;1;2;2;2;1;4;2;4;5;1;2;3;2;1;1;3;2,06780102000951;105678,005503398;12541491,9498028;5343809,44930734;17934317,9494049;4258647,17765672;8116994,2648156
"3951";14;3;3;97;97;4;2;1;2;2;2;3;1;1;2;1;3;1;1;3;2;3;1;3;3;1;1;3;2;3;1;3;4;4;4;1;;1;4;1;;2;6;1;2;1;1;1;2;4;1;2;2;1;2;3;0,200333307174065;2638,58714525841;6782295,47091322;2817899,63437748;181331,3480444;4880767,54450081;972423,15925125
"3952";12;1;1;1;4;1;1;1;1;2;1;3;1;2;;2;4;2;4;2;2;1;1;1;2;2;2;4;2;1;3;1;1;3;4;2;;2;1;3;1;1;;;1;4;2;5;2;1;3;1;1;1;1;2;0,278299223371858;12799,52360285;6003369,09289076;2556764,80999093;4456488,23198482;3442194,137924;7845449,59832215
"3953";9;1;2;2;7;4;3;97;2;2;3;2;3;2;;1;1;1;2;2;1;1;2;2;2;2;3;2;2;3;4;3;3;1;3;4;;1;1;3;2;2;3;1;1;1;4;5;1;1;2;2;2;3;1;3;0,601472305447383;6615,36472869207;6576785,59605944;3401595,02358408;4456488,23198482;2119512,79353112;856244,0817912
"3954";14;3;3;2;2;1;1;1;2;2;2;2;2;1;2;1;3;1;1;3;1;1;1;3;3;3;1;3;2;1;1;3;3;3;3;3;2;1;3;4;2;1;;;2;3;5;1;3;3;4;1;1;3;2;2;0,175291643777307;4871,90057029348;6782295,47091322;2362182,97600896;9550655,77936565;2248311,9098027;7350973,73893233
"3955";14;3;1;1;1;1;3;2;2;2;3;3;2;1;3;2;3;3;4;2;4;1;1;1;3;1;1;1;4;4;1;1;2;2;4;97;;2;1;4;1;1;;;1;3;4;1;2;1;4;1;1;3;1;2;0,233722191703076;8003,25056146671;6445651,30382502;2817899,63437748;2525639,26899086;2248311,9098027;7350973,73893233
"3956";5;3;3;1;5;1;3;1;2;2;3;2;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;2;1;3;3;3;2;3;3;1;;2;3;3;1;2;6;1;2;1;2;2;3;3;3;2;2;1;2;3;0,755170267894973;4626,75749066875;20598732,7713667;7605298,17259807;27680342,4585361;11625346,6476257;3546646,40439905
"3957";11;3;2;3;6;2;3;1;2;2;2;2;2;1;2;1;4;1;3;2;3;2;3;3;2;1;1;2;2;2;1;4;4;4;4;1;;1;3;3;1;1;;;2;1;2;3;2;3;3;1;1;1;2;3;1,42980105230214;56778,3797415475;37785788,021294;13759966,5114431;27019219,8719441;22358434,1987158;42303566,6020097
"3958";14;2;3;97;6;2;2;1;2;2;2;3;1;1;2;2;3;2;3;3;97;97;2;3;1;2;2;2;97;3;2;3;97;97;3;4;;2;3;4;2;1;;;1;1;3;1;4;3;4;1;1;2;1;3;0,116861095851538;1958,00745071841;6445651,30382502;1719164,17150939;9550655,77936565;2248311,9098027;7350973,73893233
"3959";13;2;2;1;5;2;2;1;2;2;2;1;1;1;2;2;3;1;1;2;2;1;2;3;3;3;2;4;2;4;2;3;4;4;4;2;;1;1;4;1;1;;;1;3;3;5;5;1;4;1;1;2;1;2;0,152784696240566;2503,16783662994;6576785,59605944;2212370,50632613;4456488,23198482;2974499,82286506;7845449,59832215
"3960";13;3;3;1;1;4;1;2;2;2;2;2;3;1;2;3;4;1;2;1;3;2;3;3;2;1;1;2;3;3;2;1;3;4;4;3;2;1;3;2;2;1;;;2;1;2;5;2;3;1;1;1;1;2;3;0,152784696240566;11636,3847807299;6576785,59605944;2556764,80999093;6774440,12421244;4043947,93463002;7845449,59832215
"3961";19;3;3;3;4;4;3;2;2;2;2;2;1;1;2;2;3;2;3;2;3;2;2;2;2;1;2;4;2;4;3;4;4;4;4;4;;1;3;3;1;2;6;1;2;1;2;3;4;3;3;2;2;1;2;3;0,852168849834913;5096,45401231291;37785788,021294;11827409,4960741;27019219,8719441;22358434,1987158;5621158,26628468
"3962";24;1;1;1;4;1;1;1;2;1;1;1;1;2;;1;1;2;2;3;4;1;1;2;1;1;3;4;1;2;3;3;1;4;3;2;;1;1;4;1;1;;;2;1;5;4;3;1;4;1;1;3;2;2;0,200363735575353;6157,28813072166;12541491,9498028;4175455,30097931;17934317,9494049;5285096,07002619;14678916,5657496
"3963";18;1;2;2;2;2;2;2;2;2;1;97;2;1;97;2;2;2;3;97;97;2;2;2;2;2;3;3;97;97;97;2;97;3;2;97;;1;1;2;2;2;4;2;1;3;2;4;5;1;1;3;2;1;1;2;0,516950255002377;56589,3845631569;12541491,9498028;5343809,44930734;17934317,9494049;8016320,58973676;8116994,2648156
"3964";14;1;1;1;4;1;1;1;2;2;1;2;2;1;1;3;2;2;3;2;97;2;3;2;1;2;3;2;3;3;2;2;2;3;3;2;;2;2;3;1;1;;;8;;5;1;3;2;3;1;1;3;3;3;0,0779073972343585;1934,84528289502;6445651,30382502;2362182,97600896;970320,37833733;3745107,25072326;7350973,73893233
