"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10_1";"P10_2";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P21_1";"P21_2";"P21_3";"P21_4";"P21_5";"P21_6";"P22";"P23";"P24";"V05";"V07";"V08";"V09";"V09_A";"V09_B_1";"V09_B_2";"V09_B_3";"V09_B_4";"V09_B_97";"V10";"V11";"V12";"V12_A";"V13";"V14";"V14_A";"V14_B";"V14_C";"V14_D";"V14_F";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_DOM_SIMPLES";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"2133";31;3;3;4;1;2;2;2;97;1;1;1;2;31;1;3;3;2;2;2;1;2;1;2;2;1;2;2;97;2;2;2;2;1;4;1;3;3;1;2;2;2;2;2;2;2;1;;2;2;3;2;4;1;;;3;4;3;3;1;1;2;2;1;2;39313715,0641353;12274670,31592;26621802,0272178;23063521,2050712;28682242,4740766;0,551268135270436;18266,9462717067
"2134";35;3;3;3;1;1;2;1;4;1;1;1;3;35;1;2;2;2;1;1;1;1;1;1;2;1;2;2;1;2;1;2;2;1;4;1;1;4;2;2;2;2;2;2;2;2;2;1;;4;2;2;3;2;1;11;3;1;1;4;2;2;1;3;2;3;39313715,0641353;16426598,6548108;38434986,0707912;19056393,9532222;29495819,6060058;0,879264257922035;39435,5927629199
"2135";23;1;6;1;2;1;97;1;5;1;1;1;2;23;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;2;2;2;2;2;1;;;5;1;2;2;6;1;;;2;3;3;2;1;1;1;1;1;1;20650371,2362658;8139563,11841058;28042475,6364488;6779182,58867662;19569199,9578762;0,453686778091558;22261,9360806502
"2136";43;2;5;2;4;1;2;2;5;3;2;1;2;43;1;3;5;1;1;1;1;2;1;1;2;1;1;1;2;2;1;1;2;1;2;1;1;3;1;2;2;2;2;2;2;2;2;2;;5;97;2;7;2;2;97;4;1;1;3;3;2;97;3;2;1;12930544,5058041;5477973,27518231;18888615,4929057;6745263,54772842;9103462,815831;1,24279931902753;178149,943258503
"2137";41;3;4;2;2;2;1;2;3;1;1;1;2;41;1;3;2;2;2;1;1;2;1;1;2;1;2;2;1;1;2;2;1;1;3;2;1;4;1;2;2;2;2;2;2;1;;;1;2;4;2;2;1;;;4;2;1;4;1;1;3;2;1;3;11713407,8682251;4325648,00057885;18888615,4929057;6035664,3758086;4600442,13009103;0,572897660758402;15017,1808358698
"2138";29;2;5;3;1;1;1;2;3;1;1;1;2;29;1;3;5;2;2;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;3;2;3;3;1;2;2;2;2;2;2;2;2;2;;1;2;2;8;1;;;2;3;3;3;3;2;1;1;1;1;20650371,2362658;8139563,11841058;28042475,6364488;12938473,1900709;19569199,9578762;0,19924382991876;15167,1984951523
"2139";35;3;5;1;6;1;2;2;3;1;1;1;3;35;1;5;2;2;1;1;1;2;1;2;2;1;2;2;1;2;2;1;3;1;3;1;2;3;1;2;2;2;2;2;2;2;2;1;;2;2;2;3;1;;;3;4;2;3;2;2;1;2;1;2;39313715,0641353;12274670,31592;7120100,46124758;23063521,2050712;28682242,4740766;0,879264257922035;35606,9735366132
"2140";26;2;7;2;2;2;2;2;97;97;97;97;3;26;1;1;5;2;2;97;2;2;1;2;2;1;97;2;1;2;2;2;1;1;4;1;3;3;2;2;2;2;2;2;2;2;2;1;;2;2;2;2;1;;;2;1;3;2;2;2;1;2;1;3;24016636,1990366;12114338,2670676;28042475,6364488;6779182,58867662;10843662,275684;0,65572033611561;32781,4095583725
"2141";13;2;1;1;4;1;1;1;3;1;1;1;1;13;1;1;2;2;2;1;1;2;1;2;2;1;2;1;1;2;2;1;1;1;2;2;3;4;1;2;2;2;2;2;2;1;;;5;2;2;2;3;1;;;1;1;3;4;1;1;1;2;1;1;6635351,59351707;4272340,37819496;10134655,0132459;2403297,95069104;4456290,69892459;0,329772288037643;42128,9813222544
"2142";23;1;3;2;3;1;2;2;2;1;1;1;2;23;1;6;6;2;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;3;1;;2;2;2;2;2;2;2;2;2;;97;97;1;;;;;2;3;3;1;3;2;97;97;1;2;20650371,2362658;8139563,11841058;28042475,6364488;17994192,7590122;14254145,2017422;0,453686778091558;30133,7327793652
